Sentence_Type,Class_Type,,,
"
unless you can specify a date and a time",statement,,,
"
there is not an American flight",statement,,,
"
 we're going to hold",statement,,,
"
i'm just reserving your seat now",statement,,,
"
and he said around 6 p m",statement,,,
"
it's a 50 percent refund less 5 pounds",statement,,,
"
we're going",statement,,,
"
it's 50 percent refund less five pounds",statement,,,
"
i'll uh",statement,,,
"
 and the credit card the contact telephone number",statement,,,
"
the 13th of June",statement,,,
"
it's a 50 percent refund less 5 pounds",statement,,,
"
they said bring some sort of government number",statement,,,
"
let's see what Lufthansa's fare quote says",command,,,
"
and that's 5:30 in the afternoon",statement,,,
"
and then it's",statement,,,
"
i will call you back with the charge number",statement,,,
"
what was that mor... morning one again",question,,,
"
the last direct service i have from Euston to Wigan is the 18:25 arriving at 21:06",statement,,,
"
and that's on um Canal Avenue",statement,,,
"
the 9:19",statement,,,
"
the 28th is a Wednesday",statement,,,
"
you'd have to fly all the way to the east coast",statement,,,
"
how about non-smoking and window aisle and all that stuff",question,,,
"
i'm just actually having to double check that time on the return",statement,,,
"
the tickets would be ready for pickup  probably",statement,,,
"
but we're not always getting them",statement,,,
"
wait",command,,,
"
and he needs to be there in time for an evening meeting if he can be",statement,,,
"
it won't change",statement,,,
"
and the other option will be leaving a little earlier",statement,,,
"
the fare on this is 376 70",statement,,,
"
it's 1 98 each way on the airline",statement,,,
"
you need to buy it at the booking office before your board the train",statement,,,
"
what is it",question,,,
"
what about Monday morning  early",question,,,
"
can i do that  booking it with you now",question,,,
"
and that's it huh",statement,,,
"
and i will see if i can change it up until that point",statement,,,
"
presently let me tell you what we're holding",command,,,
"
i don't need the tickets today",statement,,,
"
the highest for the lowest",statement,,,
"
so i i'm probably not going to be able to",statement,,,
"
is is that what they normally do",question,,,
"
the um Airport Connection has a 13 dollar",statement,,,
"
this is on the 5th of September",statement,,,
"
that's United flight 4 7 0",statement,,,
"
that's the 2nd of October",statement,,,
"
that's the 1:30 to 9:39 non-stop",statement,,,
"
hold the line",command,,,
"
if it's the Sunday you were travelling back",statement,,,
"
it is 200 dollars more",statement,,,
"
do you want to book your ticket just now or are you just wanting information",question,,,
"
and we'll st... you know try to switch it before then if possible",statement,,,
"
the 12:21",statement,,,
"
is he is he he's not going to stop in San J...",question,,,
"
if i took",statement,,,
"
it's 0 1 5 0 5",statement,,,
"
and we need to do the same thing we've done once or twice before",statement,,,
"
19 pound 80 is a Return innit",statement,,,
"
it's fully booked up",statement,,,
"
i'm BB CC",statement,,,
"
if the seats were all booked or if it was busy",statement,,,
let me pull up their,command,,,
"
he got some information from this conference he's going to",statement,,,
"
you're going to get your own way between  Southbend and Chicago",statement,,,
"
 that's",statement,,,
"
 and there's there is no others no",statement,,,
"
and you just  quote that reference number",statement,,,
"
i don't believe so",statement,,,
"
and i'll put him on the best one we can",statement,,,
"
you must book by 2 o'clock the day before travel",statement,,,
"
we're okay",statement,,,
"
and there are probably connections",statement,,,
"
and then what about at WWW",question,,,
"
and they're leaving from Wigan at 12:28 to Edinburgh",statement,,,
"
what date would you like to depart from London",question,,,
"
if you miss any services that i have reserved you on",statement,,,
"
we don't",statement,,,
"
let me take a look",command,,,
"
and how many people are travelling",question,,,
"
i was quoted 6 0 8 50 for the whole round f... from Boston to Washington",statement,,,
"
and that's for  27 pounds return",statement,,,
"
and what date is it you're travelling out",question,,,
"
and this is on US Air 2 5 1 1",statement,,,
"
and i leave out of the Irvine which i guess is John Wayne Airport on the Tuesday",statement,,,
"
i think so",statement,,,
"
if we have to stay later",statement,,,
"
 i don't know if it's going to be  like diverted before you get into the train station or  the station before that having to go around",statement,,,
"
if we wind up having a productive meeting",statement,,,
and let me check Los Angeles,command,,,
"
let me pull up the flight number",command,,,
"
you can't use United",statement,,,
"
cos we're looking for the cheapest way",statement,,,
"
what time do you like to depart on  Tuesday",question,,,
"
i'm just going to book your seat going out from Euston to Crewe",statement,,,
"
we can get him that 6... 18:40 rather",statement,,,
"
you are able to get the next available service",statement,,,
"
that's the only uh flight i think",statement,,,
"
you're not able to get an advance purchase ticket",statement,,,
"
you can travel on any train after 6:20",statement,,,
"
i'll just gonna book",statement,,,
"
and uh i have appointments on Tuesday um in the City Commerce and in the Santa Ana areas",statement,,,
"
if that's going to make a difference",statement,,,
"
i leave here",statement,,,
"
it's Miss",statement,,,
"
 do you have a  pen handy",question,,,
"
or they have a five p m that arrives 7:18",statement,,,
"
 cos it's a Standard Open ticket",statement,,,
"
the 16th 17th and 18th",statement,,,
"
i'm wishing to er travel  to Taunton",statement,,,
"
it's 7 3 4 2",statement,,,
"
it's not been recognised",statement,,,
"
and  would you like smoking or non-smoking",question,,,
"
that's where the 2 tickets will be posted out to",statement,,,
"
i'm looking",statement,,,
"
if he were travelling midweek still staying over a Saturday night",statement,,,
"
and the same charge number for him",statement,,,
"
 you have a you have a Super Saver one as well don't you",statement,,,
"
it makes three  stops",statement,,,
"
and i have to be there on Monday morning",statement,,,
"
i do  think about it",statement,,,
"
because we need to get in London as soon as possible",statement,,,
"
i was wanting to make some arrangements for a trip that i'm going to be taking uh to LA",statement,,,
"
and i'd like to make some travel reservations",statement,,,
"
and i i i have to make plans to stay through the week",statement,,,
"
how about London to Newcastle",question,,,
"
it's uh a regular um mileage plus upgrade where you use the miles you've accumulated",statement,,,
"
then it's a train from Wilmslow at 16:46",statement,,,
"
let me get his profile for J G",command,,,
